total_physical_qubits,n_factories_surf,n_factories_bb,runtime_years_surf,runtime_years_bb,speedup_bb_over_surf
5.000000e+03,2,27,2.298513e+11,1.702602e+10,1.350000e+01
5.170150e+03,2,28,2.298513e+11,1.641795e+10,1.400000e+01
5.346090e+03,2,29,2.298513e+11,1.585181e+10,1.450000e+01
5.528018e+03,2,30,2.298513e+11,1.532342e+10,1.500000e+01
5.716136e+03,2,31,2.298513e+11,1.482912e+10,1.550000e+01
5.910656e+03,2,32,2.298513e+11,1.436571e+10,1.600000e+01
6.111796e+03,2,33,2.298513e+11,1.393038e+10,1.650000e+01
6.319780e+03,2,35,2.298513e+11,1.313436e+10,1.750000e+01
6.534842e+03,3,36,1.532342e+11,1.276952e+10,1.200000e+01
6.757223e+03,3,37,1.532342e+11,1.242439e+10,1.233333e+01
6.987171e+03,3,38,1.532342e+11,1.209744e+10,1.266667e+01
7.224945e+03,3,40,1.532342e+11,1.149256e+10,1.333333e+01
7.470810e+03,3,41,1.532342e+11,1.121226e+10,1.366667e+01
7.725041e+03,3,42,1.532342e+11,1.094530e+10,1.400000e+01
7.987924e+03,3,44,1.532342e+11,1.044779e+10,1.466667e+01
8.259753e+03,3,45,1.532342e+11,1.021561e+10,1.500000e+01
8.540833e+03,3,47,1.532342e+11,9.780906e+09,1.566667e+01
8.831477e+03,4,49,1.149256e+11,9.381685e+09,1.225000e+01
9.132013e+03,4,50,1.149256e+11,9.194051e+09,1.250000e+01
9.442775e+03,4,52,1.149256e+11,8.840434e+09,1.300000e+01
9.764113e+03,4,54,1.149256e+11,8.513011e+09,1.350000e+01
1.009639e+04,4,56,1.149256e+11,8.208974e+09,1.400000e+01
1.043997e+04,4,57,1.149256e+11,8.064957e+09,1.425000e+01
1.079524e+04,4,59,1.149256e+11,7.791569e+09,1.475000e+01
1.116260e+04,5,62,9.194051e+10,7.414558e+09,1.240000e+01
1.154246e+04,5,64,9.194051e+10,7.182853e+09,1.280000e+01
1.193525e+04,5,66,9.194051e+10,6.965190e+09,1.320000e+01
1.234141e+04,5,68,9.194051e+10,6.760332e+09,1.360000e+01
1.276139e+04,5,70,9.194051e+10,6.567180e+09,1.400000e+01
1.319566e+04,6,73,7.661710e+10,6.297295e+09,1.216667e+01
1.364471e+04,6,75,7.661710e+10,6.129368e+09,1.250000e+01
1.410903e+04,6,78,7.661710e+10,5.893623e+09,1.300000e+01
1.458917e+04,6,81,7.661710e+10,5.675340e+09,1.350000e+01
1.508563e+04,6,83,7.661710e+10,5.538585e+09,1.383333e+01
1.559900e+04,7,86,6.567180e+10,5.345379e+09,1.228571e+01
1.612983e+04,7,89,6.567180e+10,5.165197e+09,1.271429e+01
1.667873e+04,7,92,6.567180e+10,4.996767e+09,1.314286e+01
1.724631e+04,7,95,6.567180e+10,4.838974e+09,1.357143e+01
1.783320e+04,8,99,5.746282e+10,4.643460e+09,1.237500e+01
1.844006e+04,8,102,5.746282e+10,4.506888e+09,1.275000e+01
1.906758e+04,8,105,5.746282e+10,4.378120e+09,1.312500e+01
1.971645e+04,9,109,5.107806e+10,4.217455e+09,1.211111e+01
2.038740e+04,9,113,5.107806e+10,4.068164e+09,1.255556e+01
2.108118e+04,9,117,5.107806e+10,3.929082e+09,1.300000e+01
2.179858e+04,10,121,4.597026e+10,3.799195e+09,1.210000e+01
2.254038e+04,10,125,4.597026e+10,3.677621e+09,1.250000e+01
2.330743e+04,10,129,4.597026e+10,3.563586e+09,1.290000e+01
2.410058e+04,11,133,4.179114e+10,3.456410e+09,1.209091e+01
2.492072e+04,11,138,4.179114e+10,3.331178e+09,1.254545e+01
2.576878e+04,11,143,4.179114e+10,3.214703e+09,1.300000e+01
2.664569e+04,12,148,3.830855e+10,3.106098e+09,1.233333e+01
2.755244e+04,12,153,3.830855e+10,3.004592e+09,1.275000e+01
2.849005e+04,13,158,3.536174e+10,2.909510e+09,1.215385e+01
2.945957e+04,13,163,3.536174e+10,2.820261e+09,1.253846e+01
3.046208e+04,14,169,3.283590e+10,2.720134e+09,1.207143e+01
3.149870e+04,14,174,3.283590e+10,2.641969e+09,1.242857e+01
3.257060e+04,15,180,3.064684e+10,2.553903e+09,1.200000e+01
3.367898e+04,15,187,3.064684e+10,2.458303e+09,1.246667e+01
3.482507e+04,16,193,2.873141e+10,2.381879e+09,1.206250e+01
3.601017e+04,16,200,2.873141e+10,2.298513e+09,1.250000e+01
3.723560e+04,17,206,2.704133e+10,2.231566e+09,1.211765e+01
3.850272e+04,17,213,2.704133e+10,2.158228e+09,1.252941e+01
