target_logical_error_rate,d_surf,d_bb,physical_qubits_per_factory_surf,physical_qubits_per_factory_bb,code_cycles_per_tgate_surf,code_cycles_per_tgate_bb,time_cost_cycles_surf,time_cost_cycles_bb
1.000000e-18,17,12,4335,180,17,12,17,12
1.203378e-18,16,12,3840,180,16,12,16,12
1.448118e-18,16,12,3840,180,16,12,16,12
1.742633e-18,16,12,3840,180,16,12,16,12
2.097046e-18,16,12,3840,180,16,12,16,12
2.523539e-18,16,12,3840,180,16,12,16,12
3.036771e-18,16,12,3840,180,16,12,16,12
3.654383e-18,16,12,3840,180,16,12,16,12
4.397604e-18,16,12,3840,180,16,12,16,12
5.291979e-18,16,12,3840,180,16,12,16,12
6.368250e-18,16,12,3840,180,16,12,16,12
7.663411e-18,16,12,3840,180,16,12,16,12
9.221979e-18,16,12,3840,180,16,12,16,12
1.109752e-17,15,12,3375,180,15,12,15,12
1.335452e-17,15,12,3375,180,15,12,15,12
1.607053e-17,15,12,3375,180,15,12,15,12
1.933892e-17,15,12,3375,180,15,12,15,12
2.327202e-17,15,12,3375,180,15,12,15,12
2.800504e-17,15,12,3375,180,15,12,15,12
3.370064e-17,15,12,3375,180,15,12,15,12
4.055461e-17,15,12,3375,180,15,12,15,12
4.880252e-17,15,12,3375,180,15,12,15,12
5.872787e-17,15,12,3375,180,15,12,15,12
7.067181e-17,15,12,3375,180,15,12,15,12
8.504489e-17,15,12,3375,180,15,12,15,12
1.023411e-16,14,12,2940,180,14,12,14,12
1.231551e-16,14,12,2940,180,14,12,14,12
1.482021e-16,14,12,2940,180,14,12,14,12
1.783431e-16,14,12,2940,180,14,12,14,12
2.146141e-16,14,12,2940,180,14,12,14,12
2.582619e-16,14,12,2940,180,14,12,14,12
3.107866e-16,14,12,2940,180,14,12,14,12
3.739937e-16,14,12,2940,180,14,12,14,12
4.500558e-16,14,12,2940,180,14,12,14,12
5.415871e-16,14,12,2940,180,14,12,14,12
6.517340e-16,14,12,2940,180,14,12,14,12
7.842822e-16,14,12,2940,180,14,12,14,12
9.437878e-16,14,12,2940,180,14,12,14,12
1.135733e-15,13,12,2535,180,13,12,13,12
1.366716e-15,13,12,2535,180,13,12,13,12
1.644676e-15,13,12,2535,180,13,12,13,12
1.979167e-15,13,12,2535,180,13,12,13,12
2.381686e-15,13,12,2535,180,13,12,13,12
2.866068e-15,13,12,2535,180,13,12,13,12
3.448962e-15,13,12,2535,180,13,12,13,12
4.150405e-15,13,12,2535,180,13,12,13,12
4.994505e-15,13,12,2535,180,13,12,13,12
6.010277e-15,13,12,2535,180,13,12,13,12
7.232634e-15,13,12,2535,180,13,12,13,12
8.703591e-15,13,12,2535,180,13,12,13,12
1.047371e-14,12,12,2160,180,12,12,12,12
1.260383e-14,12,12,2160,180,12,12,12,12
1.516717e-14,12,12,2160,180,12,12,12,12
1.825183e-14,12,12,2160,180,12,12,12,12
2.196385e-14,12,12,2160,180,12,12,12,12
2.643081e-14,12,12,2160,180,12,12,12,12
3.180626e-14,12,12,2160,180,12,12,12,12
3.827494e-14,12,12,2160,180,12,12,12,12
4.605922e-14,12,12,2160,180,12,12,12,12
5.542665e-14,12,12,2160,180,12,12,12,12
6.669920e-14,12,12,2160,180,12,12,12,12
8.026434e-14,12,12,2160,180,12,12,12,12
9.658832e-14,12,12,2160,180,12,12,12,12
1.162322e-13,11,12,1815,180,11,12,11,12
1.398713e-13,11,12,1815,180,11,12,11,12
1.683180e-13,11,12,1815,180,11,12,11,12
2.025502e-13,11,12,1815,180,11,12,11,12
2.437444e-13,11,12,1815,180,11,12,11,12
2.933166e-13,11,12,1815,180,11,12,11,12
3.529707e-13,11,12,1815,180,11,12,11,12
4.247572e-13,11,12,1815,180,11,12,11,12
5.111433e-13,11,12,1815,180,11,12,11,12
6.150986e-13,11,12,1815,180,11,12,11,12
7.401960e-13,11,12,1815,180,11,12,11,12
8.907355e-13,11,12,1815,180,11,12,11,12
1.071891e-12,10,12,1500,180,10,12,10,12
1.289890e-12,10,12,1500,180,10,12,10,12
1.552225e-12,10,12,1500,180,10,12,10,12
1.867914e-12,10,12,1500,180,10,12,10,12
2.247806e-12,10,12,1500,180,10,12,10,12
2.704960e-12,10,12,1500,180,10,12,10,12
3.255089e-12,10,12,1500,180,10,12,10,12
3.917101e-12,10,12,1500,180,10,12,10,12
4.713753e-12,10,12,1500,180,10,12,10,12
5.672426e-12,10,12,1500,180,10,12,10,12
6.826072e-12,10,12,1500,180,10,12,10,12
8.214344e-12,10,12,1500,180,10,12,10,12
9.884959e-12,10,12,1500,180,10,12,10,12
1.189534e-11,9,12,1215,180,9,12,9,12
1.431459e-11,9,12,1215,180,9,12,9,12
1.722586e-11,9,12,1215,180,9,12,9,12
2.072922e-11,9,12,1215,180,9,12,9,12
2.494508e-11,9,12,1215,180,9,12,9,12
3.001836e-11,9,12,1215,180,9,12,9,12
3.612343e-11,9,12,1215,180,9,12,9,12
